,list
1139,0.1
1140,2.8
1141,9.1
1142,14.4
1143,124.3
1144,74.3
1145,572.4
1146,696.0
1147,327.4
1148,342.7
1149,294.1
1150,89.9
1151,62.5
1152,2.1
1153,1.5
1154,36.1
1155,60.6
1156,133.6
1157,544.2
1158,970.5
1159,536.0
1160,292.2
1161,288.9
1162,298.4
1163,88.4
1164,6.0
1165,2.1
1166,8.1
1167,61.1
1168,151.6
1169,732.5
1170,641.4
1171,371.8
1172,517.6
1173,444.8
1174,135.0
1175,79.4
1176,1.8
1177,23.8
1178,21.4
1179,111.6
1180,453.2
1181,607.3
1182,700.4
1183,266.3
1184,88.0
1185,567.9
1186,68.1
1187,4.9
1188,11.7
1189,57.8
1190,21.5
1191,96.3
1192,124.5
1193,633.8
1194,343.2
1195,566.5
1196,195.8
1197,214.2
1198,78.1
1199,69.1
1200,16.5
1201,28.3
1202,7.0
1203,238.0
1204,238.6
1205,715.3
1206,598.5
1207,361.3
1208,216.8
1209,319.6
1210,181.0
1211,10.1
1212,4.7
1213,8.7
1214,35.7
1215,117.3
1216,330.8
1217,503.1
1218,318.7
1219,438.2
1220,99.0
1221,511.7
1222,137.5
1223,2.1
1224,0.7
1225,50.9
1226,82.1
1227,134.4
1228,91.0
1229,566.7
1230,532.0
1231,350.3
1232,93.6
1233,407.0
1234,76.4
1235,9.7
1236,2.4
1237,8.1
1238,37.9
1239,113.2
1240,610.9
1241,673.4
1242,385.4
1243,417.9
1244,192.8
1245,320.6
1246,120.7
1247,2.7
1248,19.8
1249,7.0
1250,25.3
1251,205.9
1252,134.8
1253,619.2
1254,832.7
1255,291.0
1256,414.7
1257,240.1
1258,184.3
1259,56.4
1260,8.1
1261,0.5
1262,90.7
1263,65.3
1264,521.2
1265,482.4
1266,804.0
1267,432.6
1268,474.8
1269,376.4
1270,162.8
1271,1.8
1272,0.5
1273,5.6
1274,7.3
1275,138.5
1276,192.7
1277,705.9
1278,966.3
1279,489.6
1280,526.7
1281,357.2
1282,87.4
1283,11.9
1284,0.8
1285,30.3
1286,217.2
1287,108.4
1288,81.2
1289,469.9
1290,505.1
1291,349.0
1292,347.0
1293,343.4
1294,55.4
1295,17.0
1296,3.3
1297,1.5
1298,62.6
1299,69.0
1300,191.6
1301,438.2
1302,924.9
1303,269.3
1304,326.5
1305,205.2
1306,274.4
1307,44.2
1308,18.6
1309,1.0
1310,31.4
1311,138.9
1312,190.6
1313,667.5
1314,629.0
1315,356.0
1316,275.6
1317,441.4
1318,335.1
1319,46.8
1320,20.5
1321,45.7
1322,24.1
1323,165.2
1324,124.2
1325,788.5
1326,536.8
1327,492.7
1328,391.2
1329,227.2
1330,169.7
1331,49.5
1332,7.4
1333,11.0
1334,21.0
1335,171.1
1336,95.3
1337,430.3
1338,362.6
1339,501.6
1340,241.1
1341,187.5
1342,112.9
1343,9.4
1344,3.9
1345,40.1
1346,49.9
1347,49.3
1348,119.3
1349,1042.7
1350,830.2
1351,369.7
1352,318.6
1353,259.9
1354,154.9
1355,17.0
1356,4.6
1357,10.3
1358,17.9
1359,95.7
1360,251.0
1361,454.4
1362,677.8
1363,733.9
1364,298.8
1365,355.5
1366,99.5
1367,47.2
1368,3.1
1369,5.8
1370,50.1
1371,214.1
1372,201.8
1373,563.6
1374,406.0
1375,252.2
1376,292.9
1377,308.1
1378,223.6
1379,79.4
